,RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
1285,azure-powershellWebScrap,1422,help invok azurermresourceact command get list support action write odata queri imag cheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,ravbhatnagar,arm| doc - internal| service attention,5/12/2015
128,azure-powershellWebScrap,388,joindomain paramet work add azureprovisioningconfig im tri creat window vm azur join domain one step use azur powershel modul scripti get error machin provis fine without domain join tfsbridg tfsid,,huangpf,compute| service attention,5/14/2015
121,azure-powershellWebScrap,386,arm get azurestorageaccountkey design issu azur resourc manag arm powershel modul get azurestorageaccountkey command return object two use properti key key properti name friendli old servic manag modul properti name primari secondari furthermor object return arm modul offer storageaccountnam properti use correl storag account key belong servic manag modul properti exist imag action itemsth follow action item recommend implement arm powershel modul surround get azurestorageaccountkey command chang key properti primari chang key properti secondari add storageaccountnam properti object modelcheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,seguler,service attention| storage,5/14/2015
127,azure-powershellWebScrap,387,call set azureservicediagnosticsextens role fail base version number show program featur im run azur powershel instal yesterday use web platform instal get follow output verbos set paasdiagnost configur ipseiti server messageprocessor azureworkerrol set azureservicediagnosticsextens badrequest extens id ipseityservermessageprocessorazureworkerrol paasdiagnost product ext invalid line char set azureservicediagnosticsextens storagecontext storgecontext diagnost categoryinfo notspecifi set azureservicediagnosticsextens cloudexcept fullyqualifiederrorid hyak common cloudexceptionmicrosoft windowsazur command servicemanag extens setazureservicediagnosticsextensioncommandi realiz similar dot role name understand issu fix report extens id error dot strip dont specifi role paramet work tfsbridg tfsid,<bm>write|errorvoidpredefinedtype|methoddeclaration|parameterlist|parameter|identifiernameerror|recordvoidpredefinedtype|methoddeclaration|parameterlist|parametererror|recordvoidpredefinedtype|methoddeclarationmethod_nameerror|recordidentifiername|parametererror|recorderror|recordidentifiername|parameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|identifiername0flush|debug|messageserror|recordidentifiername|parameter|parameterlist|methoddeclarationmethod_nameerror|recordparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|identifiername0flush|debug|messageserror|recordidentifiername|notequalsexpression|logicalandexpression|ifstatement|block|expressionstatement|invocationexpression|identifiername0flush|debug|messageserror|recordparameter|parameterlist|methoddeclaration|block|ifstatement|logicalandexpression|notequalsexpression|identifiernameqos|eventerror|recordidentifiername|notequalsexpression|logicalandexpression|notequalsexpression|identifiernameqos|eventerror|recordidentifiername0|simplememberaccessexpression1|simpleassignmentexpression|simplememberaccessexpression0|identifiername0qos|eventerror|recordidentifiername0|simplememberaccessexpression1|simpleassignmentexpression|simplememberaccessexpression0|identifiername1exceptionerror|recordidentifiername0|simplememberaccessexpression|identifiername1exceptionerror|recordidentifiername|notequalsexpression|logicalandexpression|ifstatement|block|expressionstatement|invocationexpression|identifiername0log|qos|eventerror|recordparameter|parameterlist|methoddeclaration|block|expressionstatement|invocationexpression|simplememberaccessexpression0|identifiername1write|errorerror|recordidentifiername|argument0|argumentlist1|invocationexpression|simplememberaccessexpression0|identifiername1write|errorerror|recordparameter|parameterlist|methoddeclarationmethod_nameerror|recordidentifiername|notequalsexpression|logicalandexpression|ifstatement|block|methoddeclarationmethod_nameerror|recordidentifiername0|simplememberaccessexpression1|simpleassignmentexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_nameerror|recordidentifiername|argument0|argumentlist1|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameflush|debug|messagesidentifiername0|invocationexpression|argumentlist1|argument0|invocationexpression|identifiername0is|data|collection|allowedflush|debug|messagesidentifiername0|invocationexpression|expressionstatement|block|ifstatement|logicalandexpression|notequalsexpression|identifiernameqos|eventflush|debug|messagesidentifiername0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameis|data|collection|allowedidentifiername0|invocationexpression|argument0|argumentlist1|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameqos|eventidentifiername0|simplememberaccessexpression|identifiername1exceptionqos|eventidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|simplememberaccessexpression1|identifiername1exceptionqos|eventidentifiername0|simplememberaccessexpression|identifiername1is|successqos|eventidentifiername|notequalsexpression|logicalandexpression|ifstatement|block|expressionstatement|invocationexpression|identifiername0log|qos|eventqos|eventidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|expressionstatement|invocationexpression|identifiername0log|qos|eventqos|eventidentifiername|notequalsexpression|logicalandexpression|ifstatement|block|methoddeclarationmethod_nameqos|eventidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_nameqos|eventidentifiername0|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_nameexceptionidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_nameexceptionidentifiername1|simplememberaccessexpression1|simpleassignmentexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_nameis|successidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|expressionstatement|invocationexpression|identifiername0log|qos|eventis|successidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_namelog|qos|eventidentifiername0|invocationexpression|expressionstatement|block|ifstatement|block|methoddeclarationmethod_namewrite|erroridentifiername1|simplememberaccessexpression0|invocationexpression|expressionstatement|block|methoddeclarationmethod_nameerror|recordidentifiername|notequalsexpression|logicalandexpression|ifstatement|block|methoddeclaration|parameterlist|parametererror|recorderror|recordparameter|parameterlist|methoddeclaration|block|ifstatement|logicalandexpression|notequalsexpression|identifiernameerror|recordexceptionidentifiername1|simplememberaccessexpression1|simpleassignmentexpression|simplememberaccessexpression0|identifiername1exceptionexceptionidentifiername1|simplememberaccessexpression0|simpleassignmentexpression|simplememberaccessexpression1|identifiername1exception<em> ,huangpf,compute| service attention,5/14/2015
132,azure-powershellWebScrap,394,get azureremotedesktopfil launch paramet perform expect help get azureremotedesktopfil indic abl thisget azureremotedesktopfil servicenam myservic name myvm launch rdp window open even though return inform imag instead imag get expect behavior rdp window open ask login credenti suppos specifi launch true help file updat cmdlet return error use launch without boolean valu suppos use launch without true cmdlet need chang work tfsbridg tfsid,,hyonholee,compute| service attention,5/15/2015
727,azure-powershellWebScrap,429,set azuresubscript accept pipelin object use workget azuresubscript current set azuresubscript etc howev doesnt anymor pleas add piplin support set azuresubscript cmdlet tfsbridg tfsid huboard order mileston order custom state,,hovsepm,azure ps team,5/26/2015
1179,azure-powershellWebScrap,865,default output cmdlet display tabl view default output format get azureresourcegroup tabular list accomplish use powershel type format file type format ps xml cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,vladimir-shcherbakov,azure ps team| doc - internal| ramp up,6/9/2015
1183,azure-powershellWebScrap,867,arm new azurerediscach enablenonsslport switch paramet boolean imag cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,siddharthchatrolams,redis cache| service attention,6/9/2015
1184,azure-powershellWebScrap,868,arm new azurerediscach size paramet design problem sinc incept powershel special identifi kb mb gb et al make easi admin number calcul powershel script new azurerediscach command creat ambigu size paramet accept valu mb gb conflict powershel identifi imag design correct avoid conflict built powershel identifi cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,siddharthchatrolams,redis cache| service attention,6/9/2015
1182,azure-powershellWebScrap,866,arm document new azurerediscach need explain depth version redisvers user specifi circumst would user specifi differ version featur support differ version miss lot detail imag cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,siddharthchatrolams,redis cache| service attention,6/9/2015
478,azure-powershellWebScrap,519,add azurecertif fail execut ii addazurecertif import pfx file getcertificatedata give access deni except run ii instead import certif export load pfx data certif constructor var cert new certif certpath password keystorageflag export cert import certpath password keystorageflag export return cert hasprivatekey cert export contenttyp pfx password cert export contenttyp pkc tfsbridg tfsid,,hyonholee,compute| service attention,6/19/2015
791,azure-powershellWebScrap,639,arm miss test azurenam command symptomth arm powershel modul miss test azurenam command expect resultsth arm powershel modul contain test azurenam command cheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,ravbhatnagar,arm| service attention,7/21/2015
784,azure-powershellWebScrap,634,arm get azurevirtualnetwork paramet odd symptomth get azurevirtualnetwork command work paramet perfect specifi name paramet get azurevirtualnetwork throw except say resourcegroupnam null expect resultth get azurevirtualnetwork command return virtual network match user specifi valu name paramet without complain null resourcegroupnam paramet cheerstrevor sullivanmicrosoft mvp powershel tfsbridg tfsid,,markjbrown,network| service attention,7/21/2015
792,azure-powershellWebScrap,640,miss document manag virtual network gateway seem command manag virtual network gateway vnet gateway local network gateway vnet gateway command document virtual network gateway differ vnet gateway local network gateway tfsbridg tfsid,,markjbrown,network| service attention,7/22/2015
806,azure-powershellWebScrap,648,construct new imag data disk set pain construct new vm imag code seem doingwith indic what go way ive found set data disk actual construct data disk configset datadiskconfigur new object microsoft windowsazur command servicemanag model datadiskconfigurationlistinstead call diskconfig datadiskconfigur tolist diskconfig null diskconfig datadiskconfigur null null diskconfig datadiskconfigur tolist tfsbridg tfsid,,hyonholee,compute| service attention,7/24/2015
797,azure-powershellWebScrap,646,set azuredeploy nullrefexcept use azur sdk azur powershel deploy cloud servic diagnost extens upgrad switch caus nullrefexcept dont use diagnost extens nullref dont use upgrad switch nullref ive found nullref sdk azur powershel nullref set azuredeploy object refer set instanc object eploy set azuredeploy upgrad servicenam servicenam categoryinfo notspecifi set azuredeploy nullreferenceexcept fullyqualifiederrorid system nullreferenceexceptionmicrosoft windowsazur command servicemanag hostedservic setazuredeploymentcommand azuredeploy set azuredeploy upgrad servicenam servicenam packag servicepackagefil configur serviceconfigfil slot slot extensionconfigur diagnosticextensionsw deploy script use deploy azur cloud servic determin solut diagnost extens build array extensionconfigur provid upgrad switch build specifi condit nullref occur block deploy provid simpler ps script reproduc issu necessari script work fine version cmdlet tfsbridg tfsid,,singhkays,compute| service attention,7/24/2015
1475,azure-powershellWebScrap,669,webappsupport appofflin publish azurewebsiteproject occasion publish azur web app visual studio onlin error similar follow occursth publish azurewebsiteproject cmdlet support paramet allow appofflin rule use inde way pass arbitrari addit flag msdeploy tfsbridg tfsid,,ahmedelnably,app services| service attention| feature-request,7/30/2015
225,azure-powershellWebScrap,75,request powershel cmdlet list subscript oper request provid command llist oper done subscript time period exampl get azureoperationhistori subscript guid startdat mm dd yyyi enddat mm dd yyyyref tfsbridg tfsid,,twitchax,azure ps team| investigate mag,8/1/2015
1293,azure-powershellWebScrap,1442,erroract work get azurermresourc tri suppress error get azurermresourc howev take effect erroractionprefer get azurermresourc resourcenam hiddenforsecur resourcetyp microsoft web serverfarm resourcegroupnam howarey erroract silentlycontinueget azurermresourc resourcenotfound resourc microsoft web serverfarm hiddenforsecur resourc group howarey found line char new get azurermresourc resourcenam hiddenforsecur resourcetyp microsof categoryinfo closeerror get azurermresourc errorresponsemessageexcept fullyqualifiederrorid resourcenotfoundmicrosoft azur command resourcemanag cmdlet implement getazureresourcecmdletthankspradebban raja tfsbridg tfsid,,cormacpayne,arm| service attention,8/12/2015
1294,azure-powershellWebScrap,1443,add azurecertif doesnt appear upload privat key part pfx file via overload add azurecertif abil receiv certtodeploy either string filenam certif object use overload take certif object doesnt appear upload privat key part certificateeith im someth crazi there mismatch two bit function take look tfsbridg tfsid,,hyonholee,compute| service attention,8/12/2015
818,azure-powershellWebScrap,756,address issu templat paramet conflict cmdlet paramet name current case append fromtempl templat param name user prompt provid valu paramet exampl user pass storageaccount paramet paramet file prompt storageaccountfromtempl select ps paramet reduc chanc collis tfsbridg tfsid,,ravbhatnagar,arm| service attention,8/14/2015
1507,azure-powershellWebScrap,771,new azureresourcegroupdeploy hang creat second deploy resourcegroup problemin azur powershel modul run window enterpris rtm new azureresourcegroupdeploy command hang creat second deploy given arm resourcegroup expect resultth new azureresourcegroupdeploy command hang cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,ravbhatnagar,arm| service attention,8/19/2015
1826,azure-powershellWebScrap,774,get azurevirtualnetworkgateway mandatori resourcegroupnam paramet problem azur powershel window enterpris rtmthe get azurevirtualnetworkgateway command mandatori resourcegroupnam paramet default paramet set expect result resourcegroupnam paramet non mandatori get azurevirtualnetworkgateway command callabl paramet get azurevirtualnetworkgateway command list virtual network gateway default regardless resourc group contain cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,lamchester,network| service attention,8/19/2015
1836,azure-powershellWebScrap,783,add azurenodewebrol updat modern node js build hith document node js add azurenodewebrol cmdlet updat recent one thing point cmdlet gener web role node js version releas today node territori chang lot make sure cmdlet use newer version necessari npm modul app dont work old build time setup web servicedefinit scaffold file need updat support node js ship msi vs origin exe instal result silent msiexec appropri execut download done although ive hack togeth specif web role im work deploy would great cmdlet work much newer runtim default note iisnod version deploy seem fine super recent node js build that great tfsbridg tfsid,,kirthik,azure ps team,8/21/2015
1840,azure-powershellWebScrap,789,featur request add support azur encrypt extens azur storag pleas add support azur encrypt extens azur blob storag arm powershel user experi integr azur key vault key storag mechan support cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,vincent81-jiang,service attention| storage| feature-request,8/23/2015
1842,azure-powershellWebScrap,793,arm new azureroledefinit doesnt support pipelin input problemth arm new azureroledefinit command doesnt support pipelin input imag expect resultth new azureroledefinit command support pipelin input either array json string array system io fileinfo instanc cheer trevor sullivan microsoft mvp powershel tfsbridg tfsid,,darshanhs90,resource authorization| service attention,8/24/2015
2148,azure-powershellWebScrap,809,new azureautomationmodul arm fail non exist contentlink ad automationmodul point contentlink doesnt exist emtpi modul still get creat expect behavior non termin error repro new azureautomationmodul contentlink name test tfsbridg tfsid,,ganeshmsazure| thomasyip-msft,automation| service attention| automation-dsc,8/27/2015
2055,azure-powershellWebScrap,475,use confirm instead forc confirm switch alwa meant way user specifi wether cmdlet prompt user confirm throughout azur cmdlet forc switch use instead make sure azur cmdlet stay true powershel use confirm switch instead forc tfsbridg tfsid huboard order mileston order custom state,,markcowl,azure ps team,9/6/2015
1186,azure-powershellWebScrap,874,except call get azuresiterecoveryprotectionent run get azuresiterecoveryprotectionent protectioncontain protectioncontain produc except replicationprovid profil protectioncontain hypervreplicaazur exceptionget azuresiterecoveryprotectionent oper fail clientrequestid df dea pinvalidparamet error xmlnsi xmln activityidada bd bb ebb ba activityid codeinvalidparamet code messagean invalid paramet replicationprovid pass messag possiblecausesparamet valu correct action possiblecaus recommendedactioncorrect paramet valu retri last action issu persist contact support recommendedact error tfsbridg tfsid,,sriramvu,recovery services site-recovery| service attention,9/9/2015
1185,azure-powershellWebScrap,873,arm set azurevmextens paramet confus differ name extensiontyp could valu name arbitrari tfsbridg tfsid,,huangpf,compute| service attention,9/9/2015
1295,azure-powershellWebScrap,1447,enabl azureserviceprojectremotedesktop error csdef cscfg contain schemavers attribut serviceconfigur servicedefinit error xml document categoryinfo closeerror enabl azureserviceprojectremotedesktop invalidoperationexcept fullyqualifiederrorid microsoft windowsazur command cloudservic develop enableazureserviceprojectremotedesktopcommand tfsbridg tfsid huboard order mileston order custom state,,markcowl,azure ps team| investigate mag,9/12/2015
2524,azure-powershellWebScrap,920,add azureaccount fail subscript account doesnt tenant id per markth root caus one subscript list subscript call rdfe return tenant id next step authent provid tenant attempt acquir token tenant tenant id second subscript essenti field blank otherwis way acquir token list subscript also resili possibl warn user access subscript list tenant tfsbridg tfsid,,vivsriaus,arm| more info label| service attention,9/16/2015
1202,azure-powershellWebScrap,955,set azurevmoperatingsystem winrmhttp option enforc winrmcertificateurl speci error thrown new azurevm deploy vm use arm cmdlet set azurevmoperatingsystem let specifi winrmhttp switch switch set winrmcertificateurl paramet set well enforc wont notic miss new azurevm tell error bit confus vm self sign cert would gener winrm ssl would default either previou behavior reinstat keyvault url mean self sign cert switch true cert url miss throw error set azurevmoperatingsystem invoc instead new azurevm tfsbridg tfsid,,hyonholee,compute| service attention,9/22/2015
1203,azure-powershellWebScrap,956,restart azurewebapp restart azurermwebapp support pipe webapp resourc azur mvpuse servicemanag cmdlet abl someth likeget azurewebsit restart azurewebsitewhil use arm version commandlet possibleget azureresourc resourcetyp microsoft web site resourcegroupnam rg cm help restart azurewebappcmdlet restart azurewebapp command pipelin posit suppli valu follow paramet type help resourcegroupnamenamerestart azurewebapp valid argument paramet resourcegroupnam argument null empti tfsbridg tfsid,,ravbhatnagar,arm| app services| investigate mag| service attention,9/22/2015
